ID,Age,Site,Bird_Body_Weight,WC,HB,Cul,Stom_tiss_mass,Prov_plastic_mass
162-89528,F,Ned's Beach,555,280,88.1,38.7,8.8906,16.1387
NL-2025-10,F,Ned's Beach,335,272,89.9,40.5,5.2552,0
NL-2025-11,F,Ned's Beach,465,297,97.6,41.2,15.6203,27.4373
BW-2025-05,F,Ned's Beach,320,265,92.6,40.2,15.2591,25.5274
NL-2025-13,F,Ned's Beach,310,268,99.2,43.4,3.9571,0.118
NL-2025-14,F,Ned's Beach,440,288,94.7,42.4,20.1763,22.6285
380-02009,F,Ned's Beach,615,303,94.5,41.8,20.4793,55.3903
NL-2025-15,F,Ned's Beach,260,246,91.3,39.3,8.7289,9.5554
NL-2025-16,F,Ned's Beach,320,243,95.5,40.9,11.2615,15.1812
NL-2025-17,F,Ned's Beach,265,254,89.7,40.1,3.8732,0.0141
380-02015,F,Ned's Beach,,,,,24.4864,30.2517
NL-2025-19,F,Ned's Beach,350,284,94.5,41.2,4.6673,0
NL-2025-20,F,Ned's Beach,400,293,91.6,40.5,12.7492,26.7488
BW-2025-08,F,Ned's Beach,280,254,91.9,40.6,8.4679,2.0614
NL-2025-21,F,Ned's Beach,660,306,96.9,44.1,19.2056,4.8306
NL-2025-22,F,Ned's Beach,565,309,90.6,39.8,19.4246,35.0925
NL-2025-23,F,Ned's Beach,535,305,91.7,39.4,17.2272,24.3019
NL-2025-24,F,Ned's Beach,490,297,97.7,43.3,14.5176,26.7003
NL-2025-25,F,Ned's Beach,535,303,86.1,37.9,20.4882,42.7896
NL-2025-26,F,Ned's Beach,680,296,98.5,42.1,21.7633,34.6518
BW-2025-09,F,Ned's Beach,280,262,95.9,43.6,4.4693,0
NL-2025-27,F,Ned's Beach,640,306,95.2,42.8,20.7647,41.3121
NL-2025-28,F,Ned's Beach,310,281,89.3,38.6,9.9764,17.6245
BW-2025-10,F,Ned's Beach,330,244,93.8,41.2,17.412,26.38
NL-2025-29,F,Ned's Beach,355,276,100.7,40.9,4.2779,0
NL-2025-30,F,Ned's Beach,280,268,95.8,44.3,3.788,0
NL-2025-31,F,Muttonbird Rd,260,255,90.4,40.3,4.6039,0.3431
NL-2025-32,F,Ned's Beach,298,281,,39.6,4.8974,0.0205
BW-2025-11,F,Ned's Beach,290,259,92,40.8,4.5806,0.0031
380-02032,F,Ned's Beach,,,,,15.0249,26.8168
NL-2025-33,F,Ned's Beach,320,285,97.5,42.4,5.115,0.3522
NL-2025-34,F,Ned's Beach,230,240,91.1,37.9,3.5557,0
NL-2025-35,F,Ned's Beach,515,300,97.5,37.9,20.3486,43.0883
NL-2025-36,F,Old Settlement,260,275,93.8,41.4,3.7547,0.1388
NL-2025-37,F,Middle Beach,315,250,94.6,40.3,4.8238,0.0911
NL-2025-38,F,Ned's Beach,535,314,98.7,43.6,16.7918,28.2806
NL-2025-39,F,Blue Lagoon,270,255,94.1,42.4,3.8137,0
NL-2025-40,F,Museum,490,302,93.9,41.2,25.7842,63.9624
NL-2025-41,F,Middle Beach,250,252,95.6,41.6,4.6098,0.0511
BW-2025-13,F,Middle Beach,240,273,94.7,41.3,3.2394,0
BW-2025-15,F,Ned's Beach,265,266,96.2,41.1,6.4014,0.5275
