"BIRD_KEY","BIRD_ID","Stomach_mass","Wt","plastic_group","AUC_contraction","AUC_relaxation"
"02009","02009",55.3903,20.5,"High plastic (>0.5)",1.79627613234323,-0.590576948003409
"02015","02015",32.1629,24.5,"High plastic (>0.5)",5.29443596759453,-1.023823890829
"02019","02019",37.3037,NA,"High plastic (>0.5)",3.3800867032965,2.15177798947926
"89528","89528",16.1387,8.9,"High plastic (>0.5)",-3.21827592219823,-31.8842941240491
"BW-05","BW-5",25.5274,15.3,"High plastic (>0.5)",1.05412607337078,-5.20903986443994
"BW-08","BW-8",2.0614,8.5,"High plastic (>0.5)",1.76516115202717,-8.33312438275482
"BW-09","BW-9",0,4.5,"Low plastic (≤0.5)",-3.39254043929407,-21.7610560205
"NL-10","NL-10",0,5.3,"Low plastic (≤0.5)",2.50655812512081,-1.14912586665039
"NL-11","NL-11",27.4373,15.6,"High plastic (>0.5)",0.353168446567896,-13.5517603913483
"NL-13","NL-13",0.118,4,"Low plastic (≤0.5)",-4.30785043178256,NA
"NL-14","NL-14",22.6285,20.2,"High plastic (>0.5)",0.071547940707243,-16.6598386837904
"NL-15","NL-15",9.5554,8.7,"High plastic (>0.5)",2.14379693127277,-12.8693464690277
"NL-16","NL-16",15.1812,11.3,"High plastic (>0.5)",2.23102482427574,-16.9927826143553
"NL-17","NL-17",0.0141,3.9,"Low plastic (≤0.5)",-9.88926973622021,-31.7697388898942
"NL-19","NL-19",0,4.7,"Low plastic (≤0.5)",-0.0966660552732351,-11.0169899692635
"NL-20","NL-20",26.7488,12.7,"High plastic (>0.5)",4.99898876640738,-0.931226514937162
"NL-22","NL-22",35.0925,19.4,"High plastic (>0.5)",7.06038871748232,-4.34137437277143
"NL-24",NA,NA,NA,NA,NA,-18.5426210754514
"NL-25",NA,NA,NA,NA,NA,-8.45877289647422
"NL-26","NL-26",34.6518,21.8,"High plastic (>0.5)",3.02434779073065,9.7478143011221
"NL-27","NL-27",41.3121,20.8,"High plastic (>0.5)",6.83361240367674,-8.04860431307864
"NL-28","NL-28",17.6245,10,"High plastic (>0.5)",0.363222536639061,-11.9483729801819
"NL-29","NL-29",0,4.3,"Low plastic (≤0.5)",-1.33284313909673,-18.1385231690216
"NL-30","NL-30",0,3.8,"Low plastic (≤0.5)",-2.56888264922765,-16.718011922495
"NL-31","NL-31",0.3431,4.6,"Low plastic (≤0.5)",-11.0732612661413,-41.4193988483992
