"BIRD_KEY","BIRD_ID","morphometrics_ID","bird_body_mass","WC","HB","Cul","proventriculus_tissue_mass","proventriculus_plastic_mass","plastic_group","auc_contraction","auc_relaxation"
"#NL-14","#NL-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02009","02009","380-02009",615,303,94.5,41.8,20.4793,55.3903,"High plastic (>0.5)",1.79627613234323,-0.590576948003409
"02015","02015","380-02015",NA,NA,NA,NA,24.4864,30.2517,"High plastic (>0.5)",5.29443596759453,-1.023823890829
"02019","02019",NA,NA,NA,NA,NA,NA,NA,NA,3.3800867032965,2.15177798947926
"89528","89528","162-89528",555,280,88.1,38.7,8.8906,16.1387,"High plastic (>0.5)",-3.21827592219823,-31.8842941240491
"BW-05","BW-5","BW-2025-05",320,265,92.6,40.2,15.2591,25.5274,"High plastic (>0.5)",1.05412607337078,-5.20903986443994
"BW-08","BW-8","BW-2025-08",280,254,91.9,40.6,8.4679,2.0614,"High plastic (>0.5)",1.76516115202717,-8.33312438275482
"BW-09","BW-9","BW-2025-09",280,262,95.9,43.6,4.4693,0,"Low plastic (≤0.5)",-3.39254043929407,-21.7610560205
"BW-11","BW-11","BW-2025-11",290,259,92,40.8,4.5806,0.0031,"Low plastic (≤0.5)",NA,NA
"NL-10","NL-10","NL-2025-10",335,272,89.9,40.5,5.2552,0,"Low plastic (≤0.5)",2.50655812512081,-1.14912586665039
"NL-11","NL-11","NL-2025-11",465,297,97.6,41.2,15.6203,27.4373,"High plastic (>0.5)",0.353168446567896,-13.5517603913483
"NL-13","NL-13","NL-2025-13",310,268,99.2,43.4,3.9571,0.118,"Low plastic (≤0.5)",-4.30785043178256,NA
"NL-14","NL-14","NL-2025-14",440,288,94.7,42.4,20.1763,22.6285,"High plastic (>0.5)",0.071547940707243,-16.6598386837904
"NL-15","NL-15","NL-2025-15",260,246,91.3,39.3,8.7289,9.5554,"High plastic (>0.5)",2.14379693127277,-12.8693464690277
"NL-16","NL-16","NL-2025-16",320,243,95.5,40.9,11.2615,15.1812,"High plastic (>0.5)",2.23102482427574,-16.9927826143553
"NL-17","NL-17","NL-2025-17",265,254,89.7,40.1,3.8732,0.0141,"Low plastic (≤0.5)",-9.88926973622021,-31.7697388898942
"NL-19","NL-19","NL-2025-19",350,284,94.5,41.2,4.6673,0,"Low plastic (≤0.5)",-0.0966660552732351,-11.0169899692635
"NL-20","NL-20","NL-2025-20",400,293,91.6,40.5,12.7492,26.7488,"High plastic (>0.5)",4.99898876640738,-0.931226514937162
"NL-22","NL-22","NL-2025-22",565,309,90.6,39.8,19.4246,35.0925,"High plastic (>0.5)",7.06038871748232,-4.34137437277143
"NL-24","NL-24","NL-2025-24",490,297,97.7,43.3,14.5176,26.7003,"High plastic (>0.5)",NA,-18.5426210754514
"NL-25","NL-25","NL-2025-25",535,303,86.1,37.9,20.4882,42.7896,"High plastic (>0.5)",NA,-8.45877289647422
"NL-26","NL-26","NL-2025-26",680,296,98.5,42.1,21.7633,34.6518,"High plastic (>0.5)",3.02434779073065,9.7478143011221
"NL-27","NL-27","NL-2025-27",640,306,95.2,42.8,20.7647,41.3121,"High plastic (>0.5)",6.83361240367674,-8.04860431307864
"NL-28","NL-28","NL-2025-28",310,281,89.3,38.6,9.9764,17.6245,"High plastic (>0.5)",0.363222536639061,-11.9483729801819
"NL-29","NL-29","NL-2025-29",355,276,100.7,40.9,4.2779,0,"Low plastic (≤0.5)",-1.33284313909673,-18.1385231690216
"NL-30","NL-30","NL-2025-30",280,268,95.8,44.3,3.788,0,"Low plastic (≤0.5)",-2.56888264922765,-16.718011922495
"NL-31","NL-31","NL-2025-31",260,255,90.4,40.3,4.6039,0.3431,"Low plastic (≤0.5)",-11.0732612661413,-41.4193988483992
