ID,Stomach_mass,Stomach_number,Gizz_mass,Gizz_number,Total_mass,Total_number
NL-2025-01,12.6363,53,0.1840,18,12.8203,71
162-89574,0.0000,0,0.0000,0,0.0000,0
162-89575,3.6403,74,,,3.6403,74
162-91106,,,,,0.0000,0
162-87331,,,,,0.0000,0
Not banded,0.1819,6,,,0.1819,6
380-00205,,,,,0.0000,0
BW-2025-01,4.0604,32,0.6377,14,4.6981,46
NL-2025-02,19.8501,194,0.0239,6,19.8740,200
PRPE-2025-01,0.0000,0,0.0000,0,0.0000,0
NB-2025-01,2.4948,5,,,2.4948,5
NB-2025-02,9.6225,18,,,9.6225,18
NL-2025-03,60.4273,758,0.6161,20,61.0434,778
BW-2025-02,0.0000,0,0.0632,2,0.0632,2
162-89573,,,,,0.0000,0
162-89576,,,,,0.0000,0
BW-2025-03,13.4621,76,0.7736,4,14.2357,80
162-89568,,,,,0.0000,0
162-89577,3.7724,8,,,3.7724,8
162-87187,,,,,0.0000,0
162-83031,,,,,0.0000,0
162-89578,0.0000,0,0.0000,0,0.0000,0
162-89579,0.0129,2,,,0.0129,2
162-89580,14.0253,14,,,14.0253,0
162-89581,0.2100,5,,,0.2100,5
162-89582,0.0000,0,0.0000,0,0.0000,0
162-89553,,,,,0.0000,0
162-87185,,,,,0.0000,0
380-00399,,,,,0.0000,0
162-89583,0.5919,14,,,0.5919,14
NL-2025-04,0.0000,0,0.0000,0,0.0000,0
162-89584,0.2960,13,,,0.2960,13
PRPE-2025-02,0.0000,0,0.0000,0,0.0000,0
PRPE-2025-03,0.0000,0,0.0068,2,0.0068,2
WTSH-2025-01,0.7379,12,0.0734,5,0.8113,17
162-79813,,,,,0.0000,0
162-89585,0.9595,13,,,0.9595,13
162-89588,0.0501,1,,,0.0501,1
162-89586,7.7650,8,,,7.7650,71
162-89587,0.6346,15,,,0.6346,15
162-87381,,,,,0.0000,0
162-89589,0.0150,1,,,0.0150,1
162-89590,0.0000,0,,,0.0000,0
NL-2025-05,0.0000,0,0.0000,0,0.0000,0
RK-2025-01,0.0000,0,0.0000,0,0.0000,0
162-89591,0.0055,1,,,0.0055,1
162-89592,0.0106,1,,,0.0106,1
162-89593,0.4873,4,,,0.4873,4
