"BIRD_KEY","morphometrics_ID","bird_body_mass","WC","HB","Cul","proventriculus_tissue_mass","proventriculus_plastic_mass","proventriculus_plastic_mass_masses_csv","proventriculus_tissue_mass_masses_csv","plastic_mass_difference","tissue_mass_difference"
"00205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02001",NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA
"02002",NA,NA,NA,NA,NA,NA,NA,4.1656,NA,NA,NA
"02003",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02004",NA,NA,NA,NA,NA,NA,NA,0.5968,NA,NA,NA
"02005",NA,NA,NA,NA,NA,NA,NA,0.1378,NA,NA,NA
"02006",NA,NA,NA,NA,NA,NA,NA,0.0176,NA,NA,NA
"02007",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02008",NA,NA,NA,NA,NA,NA,NA,0.0006,NA,NA,NA
"02009","380-02009",615,303,94.5,41.8,20.4793,55.3903,55.3903,20.5,0,-0.0207000000000015
"02010",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02011",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02012",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02013",NA,NA,NA,NA,NA,NA,NA,17.9183,NA,NA,NA
"02014",NA,NA,NA,NA,NA,NA,NA,0.9341,NA,NA,NA
"02015","380-02015",NA,NA,NA,NA,24.4864,30.2517,32.1629,24.5,-1.9112,-0.0136000000000003
"02016",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02017",NA,NA,NA,NA,NA,NA,NA,0.3441,NA,NA,NA
"02018",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02019",NA,NA,NA,NA,NA,NA,NA,37.3037,NA,NA,NA
"02020",NA,NA,NA,NA,NA,NA,NA,25.5175,NA,NA,NA
"02021",NA,NA,NA,NA,NA,NA,NA,0.033,NA,NA,NA
"02022",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02023",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02025",NA,NA,NA,NA,NA,NA,NA,13.9067,NA,NA,NA
"02026",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"02027",NA,NA,NA,NA,NA,NA,NA,6.032,NA,NA,NA
"02028",NA,NA,NA,NA,NA,NA,NA,16.2865,NA,NA,NA
"02029",NA,NA,NA,NA,NA,NA,NA,3.5756,NA,NA,NA
