"BIRD_KEY","BIRD_ID","morphometrics_ID","bird_body_mass","WC","HB","Cul","proventriculus_tissue_mass","proventriculus_plastic_mass","plastic_group"
"02009","02009","380-02009",615,303,94.5,41.8,20.4793,55.3903,"High plastic (>0.5)"
"89528","89528","162-89528",555,280,88.1,38.7,8.8906,16.1387,"High plastic (>0.5)"
"BW-05","BW-5","BW-2025-05",320,265,92.6,40.2,15.2591,25.5274,"High plastic (>0.5)"
"BW-08","BW-8","BW-2025-08",280,254,91.9,40.6,8.4679,2.0614,"High plastic (>0.5)"
"BW-09","BW-9","BW-2025-09",280,262,95.9,43.6,4.4693,0,"Low plastic (≤0.5)"
"NL-10","NL-10","NL-2025-10",335,272,89.9,40.5,5.2552,0,"Low plastic (≤0.5)"
"NL-11","NL-11","NL-2025-11",465,297,97.6,41.2,15.6203,27.4373,"High plastic (>0.5)"
"NL-14","NL-14","NL-2025-14",440,288,94.7,42.4,20.1763,22.6285,"High plastic (>0.5)"
"NL-15","NL-15","NL-2025-15",260,246,91.3,39.3,8.7289,9.5554,"High plastic (>0.5)"
"NL-16","NL-16","NL-2025-16",320,243,95.5,40.9,11.2615,15.1812,"High plastic (>0.5)"
"NL-17","NL-17","NL-2025-17",265,254,89.7,40.1,3.8732,0.0141,"Low plastic (≤0.5)"
"NL-19","NL-19","NL-2025-19",350,284,94.5,41.2,4.6673,0,"Low plastic (≤0.5)"
"NL-20","NL-20","NL-2025-20",400,293,91.6,40.5,12.7492,26.7488,"High plastic (>0.5)"
"NL-22","NL-22","NL-2025-22",565,309,90.6,39.8,19.4246,35.0925,"High plastic (>0.5)"
"NL-24","NL-24","NL-2025-24",490,297,97.7,43.3,14.5176,26.7003,"High plastic (>0.5)"
"NL-25","NL-25","NL-2025-25",535,303,86.1,37.9,20.4882,42.7896,"High plastic (>0.5)"
"NL-26","NL-26","NL-2025-26",680,296,98.5,42.1,21.7633,34.6518,"High plastic (>0.5)"
"NL-27","NL-27","NL-2025-27",640,306,95.2,42.8,20.7647,41.3121,"High plastic (>0.5)"
"NL-28","NL-28","NL-2025-28",310,281,89.3,38.6,9.9764,17.6245,"High plastic (>0.5)"
"NL-29","NL-29","NL-2025-29",355,276,100.7,40.9,4.2779,0,"Low plastic (≤0.5)"
"NL-30","NL-30","NL-2025-30",280,268,95.8,44.3,3.788,0,"Low plastic (≤0.5)"
"NL-31","NL-31","NL-2025-31",260,255,90.4,40.3,4.6039,0.3431,"Low plastic (≤0.5)"
