"BIRD_KEY","VIDEO","values","ind","time","BIRD_ID","PHASE","Total_mass","Stomach_mass","Wt","Total_number","Bird_Body_Weight","baseline0","value_delta","plastic_group"
"02009","VID_20250505_091306",2.0453260822833,"VID_20250505_091306_smoothed",120,"02009","Contract",55.3903,55.3903,20.5,399,615,1.99019923040247,0.0551268518808259,"High plastic (>0.5)"
"02015","VID_20250506_142322",2.22116487538686,"VID_20250506_142322_smoothed",120,"02015","Contract",32.2658,32.1629,24.5,189,NA,2.09,0.131164875386863,"High plastic (>0.5)"
"02019","VID_20250506_151554",2.13066696325869,"VID_20250506_151554_smoothed",120,"02019","Contract",37.4251,37.3037,NA,275,NA,2.04081038750981,0.0898565757488816,"High plastic (>0.5)"
"89528","VID_20250504_104236",1.90416798051084,"VID_20250504_104236_smoothed",120,"89528","Contract",16.4917,16.1387,8.9,90,555,2.03625410574564,-0.132086125234795,"High plastic (>0.5)"
"BW-05","VID_20250503_133723",2.095,"VID_20250503_133723_smoothed",120,"BW-5","Contract",25.9531,25.5274,15.3,71,320,2.03760934988758,0.0573906501124153,"High plastic (>0.5)"
"BW-08","VID_20250507_092303",2.05877642159136,"VID_20250507_092303_smoothed",120,"BW-8","Contract",2.2306,2.0614,8.5,14,280,2.09094645375946,-0.0321700321680987,"High plastic (>0.5)"
"BW-09","VID_20250507_171136",1.92749864568333,"VID_20250507_171136_smoothed",120,"BW-9","Contract",0.1266,0,4.5,8,280,2.0127994297232,-0.0853007840398674,"Low plastic (≤0.5)"
"NL-10","VID_20250503_104116",2.10681724393102,"VID_20250503_104116_smoothed",120,"NL-10","Contract",0.1797,0,5.3,3,335,2.06504035728927,0.0417768866417525,"Low plastic (≤0.5)"
"NL-11","VID_20250503_113334",2.01842314838166,"VID_20250503_113334_smoothed",120,"NL-11","Contract",27.8912,27.4373,15.6,71,465,1.99169594929031,0.0267271990913569,"High plastic (>0.5)"
"NL-13","VID_20250503_144800",1.96863346360142,"VID_20250503_144800_smoothed",120,"NL-13","Contract",0.118,0.118,4,4,310,2.06314806129541,-0.0945145976939907,"Low plastic (≤0.5)"
"NL-14","VID_20250504_095103",NA,"VID_20250504_095103_smoothed",120,"NL-14","Contract",22.9159,22.6285,20.2,72,440,2.05761936086351,NA,"High plastic (>0.5)"
"NL-15","VID_20250505_103419",2.23523327651496,"VID_20250505_103419_smoothed",120,"NL-15","Contract",9.5764,9.5554,8.7,65,260,2.14882543663314,0.0864078398818253,"High plastic (>0.5)"
"NL-16","VID_20250505_114513",2.13094147077789,"VID_20250505_114513_smoothed",120,"NL-16","Contract",15.5991,15.1812,11.3,180,320,2.07989037498008,0.0510510957978032,"High plastic (>0.5)"
"NL-17","VID_20250506_092253",1.76933400371458,"VID_20250506_092253_smoothed",120,"NL-17","Contract",0.2719,0.0141,3.9,5,265,2.01730704954298,-0.247973045828402,"Low plastic (≤0.5)"
"NL-19","VID_20250506_101923",2.08150568119137,"VID_20250506_101923_smoothed",120,"NL-19","Contract",0.0205,0,4.7,3,350,2.099,-0.0174943188086298,"Low plastic (≤0.5)"
"NL-20","VID_20250506_125332",2.18397923906565,"VID_20250506_125332_smoothed",120,"NL-20","Contract",26.9774,26.7488,12.7,416,400,2.04822736059559,0.135751878470057,"High plastic (>0.5)"
"NL-22","VID_20250507_105235",2.28659254470163,"VID_20250507_105235_smoothed",120,"NL-22","Contract",35.501,35.0925,19.4,181,565,2.08291386130348,0.203678683398151,"High plastic (>0.5)"
"NL-26","VID_20250507_160549",2.15790239800457,"VID_20250507_160549_smoothed",120,"NL-26","Contract",35.4434,34.6518,21.8,262,680,2.08375120323681,0.0741511947677602,"High plastic (>0.5)"
"NL-27","VID_20250508_095705",2.27496114976691,"VID_20250508_095705_smoothed",120,"NL-27","Contract",41.3121,41.3121,20.8,71,640,2.07402282738128,0.200938322385637,"High plastic (>0.5)"
"NL-28","VID_20250508_110418",2.06781334527823,"VID_20250508_110418_smoothed",120,"NL-28","Contract",17.6583,17.6245,10,70,310,2.06225851324326,0.00555483203496321,"High plastic (>0.5)"
"NL-29","VID_20250508_131017",1.90449222034795,"VID_20250508_131017_smoothed",120,"NL-29","Contract",0.0136,0,4.3,2,355,1.97526238534683,-0.0707701649988799,"Low plastic (≤0.5)"
"NL-30","VID_20250508_143159",1.99836233236326,"VID_20250508_143159_smoothed",120,"NL-30","Contract",0.034,0,3.8,1,280,2.08074425848615,-0.0823819261228906,"Low plastic (≤0.5)"
"NL-31","VID_20250508_153602",1.75190512359495,"VID_20250508_153602_smoothed",120,"NL-31","Contract",0.5223,0.3431,4.6,9,260,2.01898527279658,-0.26708014920163,"Low plastic (≤0.5)"
