"","ID","Total_plas_mass","Total_plas_number","Stomach_weight"
"1","NL-2025-01",12.8203,71,NA
"2","162-89574",0,0,NA
"3","162-89575",3.6403,74,NA
"4","162-91106",0,0,NA
"5","162-87331",0,0,NA
"6","Not banded",0.1819,6,NA
"7","380-00205",0,0,NA
"8","BW-2025-01",4.6981,46,NA
"9","NL-2025-02",19.874,200,NA
"10","PRPE-2025-01",0,0,NA
"11","NB-2025-01",2.4948,5,NA
"12","NB-2025-02",9.6225,18,NA
"13","NL-2025-03",61.0434,778,NA
"14","BW-2025-02",0.0632,2,NA
"15","162-89573",0,0,NA
"16","162-89576",0,0,NA
"17","BW-2025-03",14.2357,80,NA
"18","162-89568",0,0,NA
"19","162-89577",3.7724,8,NA
"20","162-87187",0,0,NA
"21","162-83031",0,0,NA
"22","162-89578",0,0,NA
"23","162-89579",0.0129,2,NA
"24","162-89580",14.0253,0,NA
"25","162-89581",0.21,5,NA
"26","162-89582",0,0,NA
"27","162-89553",0,0,NA
"28","162-87185",0,0,NA
"29","380-00399",0,0,NA
"30","162-89583",0.5919,14,NA
"31","NL-2025-04",0,0,NA
"32","162-89584",0.296,13,NA
"33","PRPE-2025-02",0,0,NA
"34","PRPE-2025-03",0.0068,2,NA
"35","WTSH-2025-01",0.8113,17,NA
"36","162-79813",0,0,NA
"37","162-89585",0.9595,13,NA
"38","162-89588",0.0501,1,NA
"39","162-89586",7.765,71,NA
"40","162-89587",0.6346,15,NA
"41","162-87381",0,0,NA
"42","162-89589",0.015,1,NA
"43","162-89590",0,0,NA
"44","NL-2025-05",0,0,NA
"45","RK-2025-01",0,0,NA
"46","162-89591",0.0055,1,NA
"47","162-89592",0.0106,1,NA
"48","162-89593",0.4873,4,NA
"49","162-89594",2.3871,71,NA
"50","NB-2025-03",2.5335,4,NA
"51","NL-2025-06",0.0738,5,NA
"52","NL-2025-07",16.0053,71,NA
"53","162-89595",6.4351,71,NA
"54","162-89596",0.0943,3,NA
"55","162-89597",0.5545,29,NA
"56","162-89598",2.2725,71,NA
"57","162-89599",0.5444,71,NA
"58","162-89600",1.8626,22,NA
"59","NL-2025-08",0.1106,7,NA
"60","BW-2025-04",0.0481,6,NA
"61","NB-2025-05",2.2925,3,NA
"62","NB-2025-06",13.1652,71,NA
"63","NL-2025-09",1.4471,23,NA
"64","RK-2025-02",7.9768,41,NA
"65","162-89521",0.0587,2,NA
"66","162-89522",0,0,NA
"67","162-89523",0.0013,1,NA
"68","162-89524",0,0,NA
"69","162-89525",2.3727,71,NA
"70","162-89526",0.0011,1,NA
