"BIRD_KEY","proventriculus_plastic_mass","proventriculus_plastic_count","total_plastic_mass","total_plastic_count","proventriculus_tissue_mass"
"00205",NA,NA,0,0,NA
"00399",NA,NA,0,0,NA
"02001",0.02,2,0.02,2,NA
"02002",4.1656,21,4.1656,21,NA
"02003",0,0,0,0,NA
"02004",0.5968,9,0.5968,9,NA
"02005",0.1378,11,0.1378,11,NA
"02006",0.0176,2,0.0176,2,NA
"02007",0,0,0,0,NA
"02008",0.0006,1,0.0006,1,NA
"02009",55.3903,399,55.3903,399,20.5
"02010",0,0,0,0,NA
"02011",0,0,0,0,NA
"02012",0,0,0,0,NA
"02013",17.9183,18,17.9183,71,NA
"02014",0.9341,6,1.1333,13,NA
"02015",32.1629,116,32.2658,189,24.5
"02016",0,0,0,0,NA
"02017",0.3441,9,0.3441,9,NA
"02018",0,0,0,0,NA
"02019",37.3037,202,37.4251,275,NA
"02020",25.5175,26,25.5175,71,NA
"02021",0.033,1,0.033,1,NA
"02022",0,0,0,0,NA
"02023",0,0,0,0,NA
"02024",NA,NA,0,0,NA
"02025",13.9067,14,13.9067,71,NA
"02026",0,0,0,0,NA
"02027",6.032,6,6.032,71,NA
"02028",16.2865,16,16.2865,71,NA
"02029",3.5756,4,3.5756,71,NA
"02030",0.013,2,0.013,2,NA
"02031",0.4535,4,0.4535,4,NA
"02032",35.1081,175,35.611,219,15
"02033",0,0,0,0,NA
"02034",3.6635,4,3.6635,71,NA
"02035",0.9927,7,0.9927,7,NA
"02036",19.6783,20,19.6783,71,NA
"02037",0.8373,22,0.8373,22,NA
"79813",NA,NA,0,0,NA
"83031",NA,NA,0,0,NA
"87185",NA,NA,0,0,NA
"87187",NA,NA,0,0,NA
"87331",NA,NA,0,0,NA
"87381",NA,NA,0,0,NA
"89521",0.0587,2,0.0587,2,NA
"89522",NA,NA,0,0,NA
"89523",0.0013,1,0.0013,1,NA
"89524",0,0,0,0,NA
"89525",2.3727,2,2.3727,71,NA
"89526",0.0011,1,0.0011,1,NA
"89527",6.2491,6,6.2491,71,NA
"89528",16.1387,88,16.4917,90,8.9
"89529",0,0,0,0,NA
"89530",NA,NA,0,0,NA
"89531",NA,NA,0,0,NA
"89532",NA,NA,0,0,NA
"89533",NA,NA,0,0,NA
"89534",NA,NA,0,0,NA
"89535",0.0868,4,0.0868,4,NA
"89536",0,0,0,0,NA
"89537",0,0,0,0,NA
"89538",NA,NA,0,0,NA
"89539",0.0257,2,0.0257,2,NA
"89540",NA,NA,0,0,NA
