"ID","Prov_plastic_mass","Prov_plasic_number","Total_plastic_mass","Total_plastic_number","Stomach_weight"
"02009",55.3903,399,55.3903,399,20.5
"02015",32.1629,116,32.2658,189,24.5
"02032",35.1081,175,35.611,219,15
"89528",16.1387,88,16.4917,90,8.9
"BW-05",25.5274,26,25.9531,71,15.3
"BW-08",2.0614,9,2.2306,14,8.5
"BW-09",0,0,0.1266,8,4.5
"BW-10",26.38,273,26.5715,283,17.4
"BW-11",0.0031,1,0.5021,14,4.6
"BW-13",0,0,0.0245,1,3.2
"BW-15",0.5275,13,0.7824,23,6.4
"NL-10",0,0,0.1797,3,5.3
"NL-11",27.4373,28,27.8912,71,15.6
"NL-13",0.118,4,0.118,4,4
"NL-14",22.6285,68,22.9159,72,20.2
"NL-15",9.5554,62,9.5764,65,8.7
"NL-16",15.1812,169,15.5991,180,11.3
"NL-17",0.0141,1,0.2719,5,3.9
"NL-19",0,0,0.0205,3,4.7
"NL-20",26.7488,409,26.9774,416,12.7
"NL-21",36.5284,37,37.0142,213,19.2
"NL-22",35.0925,179,35.501,181,19.4
"NL-23",24.3019,427,24.5474,433,17.2
"NL-24",26.7003,516,26.8581,522,14.5
"NL-25",42.7896,364,42.7906,365,20.5
"NL-26",34.6518,260,35.4434,262,21.8
"NL-27",41.3121,41,41.3121,71,20.8
"NL-28",17.6245,69,17.6583,70,10
"NL-29",0,0,0.0136,2,4.3
"NL-30",0,0,0.034,1,3.8
"NL-31",0.3431,3,0.5223,9,4.6
"NL-32",0.0205,1,0.2336,10,4.9
"NL-33",0.3522,3,0.4317,12,5.1
"NL-34",0,0,0.0305,3,3.6
"NL-35",43.0883,334,43.3145,336,20.3
"NL-36",0.1388,6,0.2916,25,3.8
"NL-37",0.0911,3,0.3454,8,4.8
"NL-38",28.2806,122,28.5099,145,16.8
"NL-39",0,0,0.2865,2,3.8
"NL-40",63.9624,64,64.2054,71,25.8
"NL-41",0.0511,1,0.3341,18,4.6
